Anzeigename,Einleitung,Zimmerpflanze,bei Kälte ins Haus,sonnig,heller Standort,keine direkte Sonne,halbschattig,schattig,auch für dunklere Ecken geeignet,Kunstlicht geeignet,Nordfenster,Ostfenster,Südfenster,Westfenster,Himmelsrichtung,gießen von oben,gießen in den Untersetzer,will ins Wasser getaucht werden,gleichmäßig feuchte Erde,sparsam gießen,nicht gießen,nicht gießen im Winter,Gießpause,Regenwasser oder abgestandenes Wasser,besprühen,gießen & sprühen,Flüssigdünger,Langzeitdünger,Düngerstäbchen,Grünpflanzendünger,Blühpflanzendünger,Biodünger,Kakteendünger,Orchideendünger,nicht düngen,nicht düngen im Winter,Düngerpause,Blumenerde,Hydrokultur,Bioerde,Orchideenerde,Kakteenerde,Erde-Fragezeichen,leicht saure Erde,verträgt kein Frost,winterhart,Winterruhe,Ruhephase,Idealtemperatur,Mindesttemperatur,jahreszeitliche Besonderheiten,keine Zugluft / warmhalten,Rankhilfe für Pflanze,Schädlingskontrolle,schneiden nach Jahreszeit,schneiden nach der Blüte,umtopfen,Ableger,Vermehrung,Insektenfreundlich,essbar,giftig,Gießkanne,Kalender,Gießkanne halbvoll,Rankhilfe,Schere,Schneeflocke,Smiley,Sprühflasche,Blume im Topf,Düngerflasche-gefüllt,Biene,leer1,leer2,leer3,leer4
,,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
